EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.07,0.001,1.2,0.2798,-6.9,-59.084,-0.117,5.3078,False
0.07,0.001,1.3,0.289,-7.9,-60.686,-0.13,5.1698,False
0.07,0.001,1.4,0.2819,-10.25,-62.452,-0.164,5.1953,False
0.07,0.001,1.5,0.2663,-13.27,-64.011,-0.207,5.2533,False
0.07,0.001,1.6,0.2695,-14.76,-64.903,-0.227,5.3157,False
0.07,0.001,1.7,0.2695,-16.64,-65.897,-0.253,5.3796,False
0.07,0.001,1.8,0.2673,-18.83,-66.947,-0.281,5.4439,False
0.07,0.001,1.9,0.2635,-21.25,-68.026,-0.312,5.5071,False
0.07,0.001,2.0,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.001,2.5,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.001,3.0,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.0015,1.2,0.2798,-6.9,-59.084,-0.117,5.3078,False
0.07,0.0015,1.3,0.289,-7.9,-60.686,-0.13,5.1698,False
0.07,0.0015,1.4,0.2819,-10.25,-62.452,-0.164,5.1953,False
0.07,0.0015,1.5,0.2663,-13.27,-64.011,-0.207,5.2533,False
0.07,0.0015,1.6,0.2695,-14.76,-64.903,-0.227,5.3157,False
0.07,0.0015,1.7,0.2695,-16.64,-65.897,-0.253,5.3796,False
0.07,0.0015,1.8,0.2673,-18.83,-66.947,-0.281,5.4439,False
0.07,0.0015,1.9,0.2635,-21.25,-68.026,-0.312,5.5071,False
0.07,0.0015,2.0,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.0015,2.5,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.0015,3.0,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.003,1.2,0.2798,-6.9,-59.084,-0.117,5.3078,False
0.07,0.003,1.3,0.289,-7.9,-60.686,-0.13,5.1698,False
0.07,0.003,1.4,0.2819,-10.25,-62.452,-0.164,5.1953,False
0.07,0.003,1.5,0.2663,-13.27,-64.011,-0.207,5.2533,False
0.07,0.003,1.6,0.2695,-14.76,-64.903,-0.227,5.3157,False
0.07,0.003,1.7,0.2695,-16.64,-65.897,-0.253,5.3796,False
0.07,0.003,1.8,0.2673,-18.83,-66.947,-0.281,5.4439,False
0.07,0.003,1.9,0.2635,-21.25,-68.026,-0.312,5.5071,False
0.07,0.003,2.0,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.003,2.5,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.07,0.003,3.0,0.2577,-23.95,-69.114,-0.346,5.5899,False
0.08,0.001,1.2,0.3053,-5.43,-60.213,-0.09,4.8975,False
0.08,0.001,1.3,0.2995,-7.54,-61.862,-0.122,4.8955,False
0.08,0.001,1.4,0.2904,-9.95,-63.159,-0.158,4.9343,False
0.08,0.001,1.5,0.2966,-11.16,-63.833,-0.175,4.9861,False
0.08,0.001,1.6,0.2987,-12.82,-64.627,-0.198,5.039,False
0.08,0.001,1.7,0.2987,-14.78,-65.502,-0.226,5.0929,False
0.08,0.001,1.8,0.2966,-17.04,-66.43,-0.257,5.1586,False
0.08,0.001,1.9,0.2935,-19.51,-67.393,-0.29,5.2279,False
0.08,0.001,2.0,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.001,2.5,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.001,3.0,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.0015,1.2,0.3053,-5.43,-60.213,-0.09,4.8975,False
0.08,0.0015,1.3,0.2995,-7.54,-61.862,-0.122,4.8955,False
0.08,0.0015,1.4,0.2904,-9.95,-63.159,-0.158,4.9343,False
0.08,0.0015,1.5,0.2966,-11.16,-63.833,-0.175,4.9861,False
0.08,0.0015,1.6,0.2987,-12.82,-64.627,-0.198,5.039,False
0.08,0.0015,1.7,0.2987,-14.78,-65.502,-0.226,5.0929,False
0.08,0.0015,1.8,0.2966,-17.04,-66.43,-0.257,5.1586,False
0.08,0.0015,1.9,0.2935,-19.51,-67.393,-0.29,5.2279,False
0.08,0.0015,2.0,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.0015,2.5,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.0015,3.0,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.003,1.2,0.3053,-5.43,-60.213,-0.09,4.8975,False
0.08,0.003,1.3,0.2995,-7.54,-61.862,-0.122,4.8955,False
0.08,0.003,1.4,0.2904,-9.95,-63.159,-0.158,4.9343,False
0.08,0.003,1.5,0.2966,-11.16,-63.833,-0.175,4.9861,False
0.08,0.003,1.6,0.2987,-12.82,-64.627,-0.198,5.039,False
0.08,0.003,1.7,0.2987,-14.78,-65.502,-0.226,5.0929,False
0.08,0.003,1.8,0.2966,-17.04,-66.43,-0.257,5.1586,False
0.08,0.003,1.9,0.2935,-19.51,-67.393,-0.29,5.2279,False
0.08,0.003,2.0,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.003,2.5,0.288,-22.29,-68.611,-0.325,5.2931,False
0.08,0.003,3.0,0.288,-22.29,-68.611,-0.325,5.2931,False
0.09,0.001,1.2,0.5546,14.25,-60.102,0.237,4.2128,False
0.09,0.001,1.3,0.5371,11.47,-61.749,0.186,4.2278,False
0.09,0.001,1.4,0.5275,9.27,-62.98,0.147,4.265,False
0.09,0.001,1.5,0.53,8.21,-63.662,0.129,4.3094,False
0.09,0.001,1.6,0.5296,6.67,-64.462,0.104,4.3528,False
0.09,0.001,1.7,0.5274,4.75,-65.34,0.073,4.3944,False
0.09,0.001,1.8,0.5239,2.52,-66.271,0.038,4.4342,False
0.09,0.001,1.9,0.5197,0.02,-67.333,0.0,4.4724,False
0.09,0.001,2.0,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.001,2.5,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.001,3.0,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.0015,1.2,0.5546,14.25,-60.102,0.237,4.2128,False
0.09,0.0015,1.3,0.5371,11.47,-61.749,0.186,4.2278,False
0.09,0.0015,1.4,0.5275,9.27,-62.98,0.147,4.265,False
0.09,0.0015,1.5,0.53,8.21,-63.662,0.129,4.3094,False
0.09,0.0015,1.6,0.5296,6.67,-64.462,0.104,4.3528,False
0.09,0.0015,1.7,0.5274,4.75,-65.34,0.073,4.3944,False
0.09,0.0015,1.8,0.5239,2.52,-66.271,0.038,4.4342,False
0.09,0.0015,1.9,0.5197,0.02,-67.333,0.0,4.4724,False
0.09,0.0015,2.0,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.0015,2.5,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.0015,3.0,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.003,1.2,0.5546,14.25,-60.102,0.237,4.2128,False
0.09,0.003,1.3,0.5371,11.47,-61.749,0.186,4.2278,False
0.09,0.003,1.4,0.5275,9.27,-62.98,0.147,4.265,False
0.09,0.003,1.5,0.53,8.21,-63.662,0.129,4.3094,False
0.09,0.003,1.6,0.5296,6.67,-64.462,0.104,4.3528,False
0.09,0.003,1.7,0.5274,4.75,-65.34,0.073,4.3944,False
0.09,0.003,1.8,0.5239,2.52,-66.271,0.038,4.4342,False
0.09,0.003,1.9,0.5197,0.02,-67.333,0.0,4.4724,False
0.09,0.003,2.0,0.5125,-2.99,-68.603,-0.044,4.5104,True
0.09,0.003,2.5,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.09,0.003,3.0,0.5125,-2.99,-68.603,-0.044,4.5104,False
0.1,0.001,1.2,0.4734,6.93,-60.102,0.115,4.397,False
0.1,0.001,1.3,0.4957,7.5,-61.749,0.121,4.2394,False
0.1,0.001,1.4,0.5218,8.52,-62.98,0.135,4.1297,False
0.1,0.001,1.5,0.5486,9.86,-63.662,0.155,4.1483,False
0.1,0.001,1.6,0.5831,12.43,-64.462,0.193,4.1257,False
0.1,0.001,1.7,0.612,14.52,-65.34,0.222,4.1047,False
0.1,0.001,1.8,0.6242,14.66,-66.271,0.221,4.1013,False
0.1,0.001,1.9,0.6362,14.75,-67.333,0.219,4.0876,False
0.1,0.001,2.0,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.001,2.5,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.001,3.0,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.0015,1.2,0.4734,6.93,-60.102,0.115,4.397,False
0.1,0.0015,1.3,0.4957,7.5,-61.749,0.121,4.2394,False
0.1,0.0015,1.4,0.5218,8.52,-62.98,0.135,4.1297,False
0.1,0.0015,1.5,0.5486,9.86,-63.662,0.155,4.1483,False
0.1,0.0015,1.6,0.5831,12.43,-64.462,0.193,4.1257,False
0.1,0.0015,1.7,0.612,14.52,-65.34,0.222,4.1047,False
0.1,0.0015,1.8,0.6242,14.66,-66.271,0.221,4.1013,False
0.1,0.0015,1.9,0.6362,14.75,-67.333,0.219,4.0876,False
0.1,0.0015,2.0,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.0015,2.5,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.0015,3.0,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.003,1.2,0.4734,6.93,-60.102,0.115,4.397,False
0.1,0.003,1.3,0.4957,7.5,-61.749,0.121,4.2394,False
0.1,0.003,1.4,0.5218,8.52,-62.98,0.135,4.1297,False
0.1,0.003,1.5,0.5486,9.86,-63.662,0.155,4.1483,False
0.1,0.003,1.6,0.5831,12.43,-64.462,0.193,4.1257,False
0.1,0.003,1.7,0.612,14.52,-65.34,0.222,4.1047,False
0.1,0.003,1.8,0.6242,14.66,-66.271,0.221,4.1013,False
0.1,0.003,1.9,0.6362,14.75,-67.333,0.219,4.0876,False
0.1,0.003,2.0,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.003,2.5,0.6367,13.33,-68.603,0.194,4.2082,False
0.1,0.003,3.0,0.6367,13.33,-68.603,0.194,4.2082,False
0.11,0.001,1.2,0.5682,15.39,-60.102,0.256,4.1268,False
0.11,0.001,1.3,0.588,16.22,-61.749,0.263,4.0078,False
0.11,0.001,1.4,0.6057,16.9,-62.98,0.268,3.9999,False
0.11,0.001,1.5,0.6451,20.54,-63.662,0.323,3.972,False
0.11,0.001,1.6,0.6806,24.02,-64.462,0.373,3.9395,False
0.11,0.001,1.7,0.701,25.73,-65.34,0.394,3.9154,False
0.11,0.001,1.8,0.7053,25.28,-66.271,0.381,4.0276,False
0.11,0.001,1.9,0.708,24.5,-67.333,0.364,4.1685,False
0.11,0.001,2.0,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.001,2.5,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.001,3.0,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.0015,1.2,0.5682,15.39,-60.102,0.256,4.1268,False
0.11,0.0015,1.3,0.588,16.22,-61.749,0.263,4.0078,False
0.11,0.0015,1.4,0.6057,16.9,-62.98,0.268,3.9999,False
0.11,0.0015,1.5,0.6451,20.54,-63.662,0.323,3.972,False
0.11,0.0015,1.6,0.6806,24.02,-64.462,0.373,3.9395,False
0.11,0.0015,1.7,0.701,25.73,-65.34,0.394,3.9154,False
0.11,0.0015,1.8,0.7053,25.28,-66.271,0.381,4.0276,False
0.11,0.0015,1.9,0.708,24.5,-67.333,0.364,4.1685,False
0.11,0.0015,2.0,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.0015,2.5,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.0015,3.0,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.003,1.2,0.5682,15.39,-60.102,0.256,4.1268,False
0.11,0.003,1.3,0.588,16.22,-61.749,0.263,4.0078,False
0.11,0.003,1.4,0.6057,16.9,-62.98,0.268,3.9999,False
0.11,0.003,1.5,0.6451,20.54,-63.662,0.323,3.972,False
0.11,0.003,1.6,0.6806,24.02,-64.462,0.373,3.9395,False
0.11,0.003,1.7,0.701,25.73,-65.34,0.394,3.9154,False
0.11,0.003,1.8,0.7053,25.28,-66.271,0.381,4.0276,False
0.11,0.003,1.9,0.708,24.5,-67.333,0.364,4.1685,False
0.11,0.003,2.0,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.003,2.5,0.7122,23.9,-68.603,0.348,4.3096,False
0.11,0.003,3.0,0.7122,23.9,-68.603,0.348,4.3096,False
